id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loudness,mode,tempo,valence,available_market,release_date,explicit,idx
11gIxacOHnCVPL0dZ3xOnC,Na Cadência Do Samba,samba,https://open.spotify.com/track/11gIxacOHnCVPL0dZ3xOnC,43.0,0.557,0.774,0.789,0.0,0.434,0.0421,209026.0,1.0,-6.152,1.0,100.808,0.918,79.0,1974-01-01,0.0,9532
5tZ7cshgStBh6v8GIi66UL,Tudo Fica Blue,samba,https://open.spotify.com/track/5tZ7cshgStBh6v8GIi66UL,40.0,0.613,0.4920000000000001,0.833,0.0,0.311,0.0508,260906.0,4.0,-4.258,1.0,135.786,0.481,78.0,1999-01-01,0.0,9533
2vAba4LGuPyQ1b2eHi5Jvh,Sábado Morto,samba,https://open.spotify.com/track/2vAba4LGuPyQ1b2eHi5Jvh,23.0,0.542,0.465,0.4970000000000001,0.7020000000000001,0.3,0.0375,258573.0,2.0,-10.549,0.0,147.076,0.414,73.0,1972-01-01,0.0,9534
0veEyyqy38Q7uPAbmpKBem,Sao Sao Paulo,samba,https://open.spotify.com/track/0veEyyqy38Q7uPAbmpKBem,22.0,0.403,0.398,0.5579999999999999,0.0,0.262,0.0315,221080.0,2.0,-7.327000000000001,1.0,105.863,0.659,78.0,1968,0.0,9535
6eJX0a3icvwMB35lk0YoC4,Maria Da Vila Matilde,samba,https://open.spotify.com/track/6eJX0a3icvwMB35lk0YoC4,27.0,0.189,0.628,0.6920000000000001,0.0,0.0949,0.251,225453.0,0.0,-8.404,1.0,152.005,0.8540000000000001,70.0,2016-06-10,0.0,9536
68DcdIbgA4vEektkulFWPZ,Magnólia,samba,https://open.spotify.com/track/68DcdIbgA4vEektkulFWPZ,47.0,0.599,0.7290000000000001,0.385,0.0,0.263,0.0578,194226.0,2.0,-13.961,1.0,120.797,0.929,55.0,1974-01-01,0.0,9537
30mRvQ1MUZUeqJtc6fEWPy,Aos Pés da Cruz,samba,https://open.spotify.com/track/30mRvQ1MUZUeqJtc6fEWPy,21.0,0.848,0.677,0.287,0.000509,0.118,0.044,93840.0,4.0,-13.616,1.0,144.262,0.78,79.0,2015-08-28,0.0,9538
52bhuRTX975WLB5tpGguvL,Coração Imprudente,samba,https://open.spotify.com/track/52bhuRTX975WLB5tpGguvL,33.0,0.609,0.665,0.46,5.86e-06,0.688,0.0551,156280.0,11.0,-11.222,0.0,103.139,0.594,79.0,2013,0.0,9539
4PCOdQqh43vdtJI7I8Mhai,Pais E Filhos - Ao Vivo,samba,https://open.spotify.com/track/4PCOdQqh43vdtJI7I8Mhai,37.0,0.282,0.615,0.62,6.04e-06,0.762,0.0467,261120.0,7.0,-10.564,1.0,106.553,0.456,79.0,2012-11-27,0.0,9540
1op7nM2R2M6FAU6dSCTRWV,Preciso Me Encontrar,samba,https://open.spotify.com/track/1op7nM2R2M6FAU6dSCTRWV,55.0,0.913,0.563,0.425,0.0054,0.306,0.0665,179933.0,2.0,-13.814,0.0,77.209,0.679,77.0,1999-01-01,0.0,9541
