id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit,idx
3BXlmHqou6hZiOyi8JXfGt,Keep On Loving You,acoustic,https://open.spotify.com/track/3BXlmHqou6hZiOyi8JXfGt,36.0,0.13699999999999998,0.688,0.716,1.26e-06,0.344,0.14,172720.0,3.0,-5.218999999999999,1.0,95.94200000000001,0.753,79.0,2018-05-04,0.0,52
1wQDdCFGWzljnTvKdhoNpA,I Wanna Die,acoustic,https://open.spotify.com/track/1wQDdCFGWzljnTvKdhoNpA,47.0,0.29600000000000004,0.345,0.7140000000000001,0.0,0.127,0.0566,215078.0,0.0,-5.48,1.0,178.52200000000005,0.524,79.0,2017-02-14,1.0,53
2pDOP7lUpO5LGUz798H0me,Three More Days,acoustic,https://open.spotify.com/track/2pDOP7lUpO5LGUz798H0me,46.0,0.126,0.56,0.6809999999999999,0.000889,0.0506,0.0328,216773.0,10.0,-8.357999999999999,1.0,83.91,0.9009999999999999,48.0,2006-08-29,0.0,54
4egBbXegJogVto1kZlLspq,Carry Me Through,acoustic,https://open.spotify.com/track/4egBbXegJogVto1kZlLspq,35.0,0.16899999999999998,0.643,0.509,0.0,0.11599999999999999,0.0627,196960.0,2.0,-7.347,1.0,129.995,0.5479999999999999,79.0,2008,0.0,55
0c7iF5fSBYxCuwsAv2z4iI,Green Mountain State,acoustic,https://open.spotify.com/track/0c7iF5fSBYxCuwsAv2z4iI,63.0,0.35100000000000003,0.693,0.3670000000000001,2.8999999999999997e-05,0.111,0.0323,274632.0,3.0,-11.66,1.0,129.879,0.28600000000000003,67.0,2014-06-17,0.0,56
6R6ux6KaKrhAg2EIB2krdU,Without You,acoustic,https://open.spotify.com/track/6R6ux6KaKrhAg2EIB2krdU,62.0,0.0761,0.564,0.8640000000000001,0.0,0.182,0.0341,228933.0,4.0,-5.121,1.0,95.984,0.534,79.0,2016-01-15,0.0,57
4nmjL1mUKOAfAbo9QG9tSE,Koi,acoustic,https://open.spotify.com/track/4nmjL1mUKOAfAbo9QG9tSE,48.0,0.00081,0.598,0.8190000000000001,0.0,0.218,0.0911,251266.0,9.0,-2.6189999999999998,1.0,158.115,0.878,78.0,2018-12-19,0.0,58
3AkxSspcYOvhWTkaMvqyaD,Volcano,acoustic,https://open.spotify.com/track/3AkxSspcYOvhWTkaMvqyaD,46.0,0.578,0.514,0.289,1.84e-06,0.13,0.0524,278600.0,0.0,-12.927999999999999,1.0,153.74200000000005,0.4370000000000001,2.0,2003-06-03,0.0,59
4ftYIbHbKSVZWyrveFHCNu,Call It Dreaming,acoustic,https://open.spotify.com/track/4ftYIbHbKSVZWyrveFHCNu,63.0,0.61,0.519,0.515,5.660000000000003e-05,0.107,0.031,231760.0,5.0,-9.448,1.0,80.329,0.7140000000000001,79.0,2017-08-25,0.0,60
6ZoPWMoBjicXbWuXfMIWEi,El Principito,acoustic,https://open.spotify.com/track/6ZoPWMoBjicXbWuXfMIWEi,36.0,0.623,0.713,0.526,0.0,0.0634,0.0684,138200.0,7.0,-6.895,1.0,89.685,0.882,79.0,2008-05-15,1.0,61
