,id,name,artist,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit
6282,0Q6mb7Fu5AYjrDJRscDDt9,It's Gonna Rain,Kelly Price,j-pop,40.0,0.449,0.575,0.486,0.0,0.0753,0.0521,241386.0,6.0,-7.662,0.0,132.248,0.492,4.0,2007-01-01,0.0
6283,0spSRHFS4zF4Imvz9sJcfL,Spinning Wheel,"Blood, Sweat & Tears",j-pop,51.0,0.315,0.695,0.503,2.47e-05,0.261,0.0605,247266.0,7.0,-9.313,1.0,96.818,0.542,79.0,1968-12,0.0
6284,5CyUzHTWZfrB0xm31tr7SD,After Dark,ASIAN KUNG-FU GENERATION,j-pop,46.0,0.000566,0.523,0.944,0.0,0.056,0.0411,195160.0,1.0,-3.049,1.0,95.654,0.562,78.0,2012-01-18,0.0
6285,57zCPgJ2xnD552JTmOaWdQ,Officially Missing You,Tamia,j-pop,62.0,0.247,0.476,0.407,0.0,0.144,0.0368,242466.0,4.0,-9.239,0.0,178.258,0.226,79.0,2003,0.0
6286,69sIrKE4gd2NdIdstf9Ebh,Grapevyne,Brownstone,j-pop,45.0,0.0768,0.723,0.647,0.000237,0.131,0.0317,336933.0,11.0,-9.178,0.0,137.336,0.653,79.0,1993-06-01,0.0
6287,7lWvECULXPh7RoAT1fmgo3,"Birth, School, Work, Death",The Godfathers,j-pop,42.0,0.000548,0.521,0.765,0.00885,0.114,0.0367,248826.0,9.0,-10.942,1.0,120.674,0.719,79.0,2011,0.0
6288,5vywtoD7fO1CP0B2wtm6I6,Control,Janet Jackson,j-pop,45.0,0.28,0.785,0.786,0.236,0.158,0.0501,353306.0,11.0,-12.487,1.0,120.404,0.638,3.0,1986-02-04,0.0
6289,2dEFuiICxAJl1dz8NhYFYB,トゲめくスピカ,POLKADOT STINGRAY,j-pop,53.0,0.172,0.564,0.844,2.19e-06,0.413,0.077,279533.0,11.0,-4.437,0.0,140.086,0.823,79.0,2019-12-20,0.0
6290,3voxsfqnGr9V74jkkzPhXC,O.P.P,Naughty By Nature,j-pop,62.0,0.0326,0.848,0.838,4.63e-06,0.124,0.0723,271066.0,4.0,-11.949,0.0,97.735,0.774,79.0,1991-09-03,0.0
6291,52WaKEZpbiD6aBkmENlj6x,E=MC2,Big Audio Dynamite,j-pop,52.0,0.716,0.721,0.782,0.0,0.204,0.0529,354626.0,2.0,-9.723,0.0,129.975,0.844,79.0,1985,0.0
6292,2ESAoDR0NAUMzm81TEBuJE,Thank You,Boyz II Men,j-pop,37.0,0.0165,0.678,0.711,0.0,0.0184,0.0759,275200.0,1.0,-8.949,1.0,95.101,0.91,2.0,1994-01-01,0.0
6293,0KhXVmAN4sqeEgsqRd39f2,You Used to Love Me,Faith Evans,j-pop,58.0,0.247,0.702,0.458,1.64e-06,0.126,0.035,269173.0,0.0,-8.195,1.0,89.271,0.678,78.0,1995,0.0
6294,7taAAGtSRy64uxc1Xh187F,I Confess,The English Beat,j-pop,40.0,0.0125,0.574,0.717,0.0013,0.288,0.0456,270666.0,7.0,-10.034,1.0,131.921,0.691,2.0,2012-01-01,0.0
6295,5x4Tv2PICzkwkixYuSmbYX,"Touch Me I'm Going To Scream, Pt. 2",My Morning Jacket,j-pop,51.0,0.129,0.676,0.352,0.283,0.11,0.0345,492266.0,2.0,-10.239,0.0,121.438,0.492,78.0,2008-06-10,0.0
6296,01wZPk1D0Ar9AnUtAY01yl,"Someday, Someway - Remastered",Marshall Crenshaw,j-pop,44.0,0.113,0.561,0.928,0.0,0.173,0.166,169533.0,9.0,-5.216,1.0,154.914,0.882,79.0,2005-03-22,0.0
6297,1Q0lOGB52skgfzdcq233vs,Nothing Even Matters (feat. D'Angelo),Ms. Lauryn Hill,j-pop,62.0,0.701,0.539,0.363,3.18e-06,0.14,0.166,350533.0,10.0,-13.888,0.0,136.422,0.549,79.0,1998-08-25,0.0
6298,5INWlwa21TSPLA7SdIE9YS,Joanie,The Front Bottoms,j-pop,43.0,0.000493,0.519,0.815,0.0,0.328,0.0438,186573.0,10.0,-4.068,1.0,130.771,0.617,79.0,2016-10-14,0.0
