id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loudness,mode,tempo,valence,available_market,release_date,explicit,idx
1r20gcDzos0cyDgPSDU2bB,Pagan Fears,black-metal,https://open.spotify.com/track/1r20gcDzos0cyDgPSDU2bB,37.0,1.77e-06,0.122,0.964,0.8909999999999999,0.213,0.0659,380853.0,4.0,-8.207,1.0,149.812,0.0599,79.0,1994,0.0,625
3XYX6xHNkKpR6aRWZ5frqL,Måneblôt,black-metal,https://open.spotify.com/track/3XYX6xHNkKpR6aRWZ5frqL,34.0,0.0046700000000000005,0.31,0.858,0.00941,0.338,0.0475,213777.0,10.0,-3.763,1.0,88.90799999999999,0.179,79.0,2017-09-15,0.0,626
4CNBAwOIc1ToEg1YvYm5uK,En Hvit Ravns Død - Live,black-metal,https://open.spotify.com/track/4CNBAwOIc1ToEg1YvYm5uK,8.0,0.00331,0.106,0.726,0.757,0.728,0.233,546467.0,10.0,-8.472999999999999,0.0,155.399,0.0366,79.0,2020-06-19,0.0,627
3lgmNuyHtfDSJdJ87TANkT,Ilmestys,black-metal,https://open.spotify.com/track/3lgmNuyHtfDSJdJ87TANkT,40.0,0.00046,0.412,0.679,0.868,0.245,0.0365,434746.0,0.0,-9.949,1.0,91.06,0.0619,79.0,2020-04-17,0.0,628
5IlRTqDGImuiRYKHK7U8DZ,Scum Defection (Outsider Neutralized),black-metal,https://open.spotify.com/track/5IlRTqDGImuiRYKHK7U8DZ,21.0,1.41e-06,0.18600000000000005,0.966,0.8909999999999999,0.272,0.192,235400.0,11.0,-5.4460000000000015,1.0,101.548,0.0657,79.0,2015-11-13,0.0,629
7rokP2uUPCPAk6opl1rV2r,When Paradise Fades,black-metal,https://open.spotify.com/track/7rokP2uUPCPAk6opl1rV2r,31.0,1.07e-06,0.308,0.952,0.882,0.332,0.0821,240445.0,7.0,-5.1370000000000005,1.0,172.085,0.127,79.0,2018-07-20,0.0,630
1fn3uiyHoUaQILzmpp914U,The Event Horizon,black-metal,https://open.spotify.com/track/1fn3uiyHoUaQILzmpp914U,23.0,0.00197,0.386,0.6759999999999999,0.919,0.0626,0.0427,491941.0,8.0,-9.769,0.0,119.922,0.0698,1.0,2020-05-08,0.0,631
08uVRkAnmSjUY2FUh6Iu0K,Opium,black-metal,https://open.spotify.com/track/08uVRkAnmSjUY2FUh6Iu0K,42.0,0.00016299999999999998,0.486,0.909,0.742,0.14,0.0336,166840.0,2.0,-6.978,1.0,74.729,0.273,79.0,1997,0.0,632
5XsdXJJYkUfFjEtXEdmlw1,Stress Builds Character,black-metal,https://open.spotify.com/track/5XsdXJJYkUfFjEtXEdmlw1,34.0,0.0143,0.28600000000000003,0.78,0.0386,0.0826,0.475,349693.0,7.0,-8.961,1.0,80.705,0.174,79.0,2014-10-14,0.0,633
7HmGwZ0HvZIsB90wt3AuDE,Ye Entrancemperium,black-metal,https://open.spotify.com/track/7HmGwZ0HvZIsB90wt3AuDE,38.0,7.68e-05,0.141,0.938,0.879,0.434,0.065,314906.0,0.0,-4.221,1.0,139.186,0.0359,79.0,1997-05-12,0.0,634
4fYM0AD0NodfQZktr3BXAd,Cabrini-Green,black-metal,https://open.spotify.com/track/4fYM0AD0NodfQZktr3BXAd,20.0,0.0409,0.151,0.757,0.229,0.14400000000000002,0.0735,540050.0,0.0,-5.846,1.0,79.563,0.206,79.0,2020-03-27,0.0,635
